"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"VALUE";
"+5V-0";"WIREPAD1,6/0,9";"WIREPAD1,6/0,9";"1,6/0,9";"Wire PAD connect wire on PCB";"";"";"unknown";"";"";"";"";
"+5V-1";"WIREPAD1,6/0,9";"WIREPAD1,6/0,9";"1,6/0,9";"Wire PAD connect wire on PCB";"";"";"unknown";"";"";"";"";
"E1:M:T1";"";"WE-LAN-10/100-BASE-T,749010012";"749010012";"LAN-Transformer WE-LAN 10/100 Base T";"WURTH ELEKTRONIK";"749010012";"1636345";"unknown";"10/100/Base-T";"Wuerth Elektronik";"";
"E1:X0";"NE8FAV";"NE8FAV";"NE8FAV";"";"NEUTRIK";"NE8FAV";"1202031";"";"";"";"";
"F0:R6";"49.9, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X49R9FTL";"2073090";"";"";"";"";
"F0:R7";"49.9, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X49R9FTL";"2073090";"";"";"";"";
"F0:R8";"49.9, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X49R9FTL";"2073090";"";"";"";"";
"F0:R9";"49.9, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X49R9FTL";"2073090";"";"";"";"";
"F1:R6";"49.9, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X49R9FTL";"2073090";"";"";"";"";
"F1:R7";"49.9, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X49R9FTL";"2073090";"";"";"";"";
"F1:R8";"49.9, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X49R9FTL";"2073090";"";"";"";"";
"F1:R9";"49.9, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X49R9FTL";"2073090";"";"";"";"";
"F2:R6";"49.9, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X49R9FTL";"2073090";"";"";"";"";
"F2:R7";"49.9, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X49R9FTL";"2073090";"";"";"";"";
"F2:R8";"49.9, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X49R9FTL";"2073090";"";"";"";"";
"F2:R9";"49.9, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X49R9FTL";"2073090";"";"";"";"";
"FAN0";"22-05-7038-03";"22-05-7038-03";"7395-03";"CONNECTOR";"MOLEX";"22-05-7038";"9731610";"unknown";"";"";"";
"FAN1";"22-05-7038-03";"22-05-7038-03";"7395-03";"CONNECTOR";"MOLEX";"22-05-7038";"9731610";"unknown";"";"";"";
"GND-0";"WIREPAD1,6/0,9";"WIREPAD1,6/0,9";"1,6/0,9";"Wire PAD connect wire on PCB";"";"";"unknown";"";"";"";"";
"GND-1";"WIREPAD1,6/0,9";"WIREPAD1,6/0,9";"1,6/0,9";"Wire PAD connect wire on PCB";"";"";"unknown";"";"";"";"";
"JC0";"";"PINHD-1X6";"1X06";"PIN HEADER";"MULTICOMP";"MC34751";"1593430";"";"";"";"";
"JC1";"";"PINHD-1X6";"1X06";"PIN HEADER";"MULTICOMP";"MC34751";"1593430";"";"";"";"";
"JC2";"";"PINHD-1X6";"1X06";"PIN HEADER";"MULTICOMP";"MC34751";"1593430";"";"";"";"";
